ID,TARGET
0,9685.004
1,55620.168
2,9636.289
3,30054.775
4,20624.102
5,132752.0
6,162957.56
7,6103.076
8,15192.399
9,2316.2324
10,11573.214
11,127108.81
12,27882.629
13,46110.523
14,77076.1
15,34257.254
16,29013.496
17,14985.647
18,57719.93
19,166745.03
20,8399.696
21,193510.06
22,97067.16
23,2316.5276
24,69482.84
25,10938.492
26,59700.945
27,446563.16
28,194721.14
29,17924.074
30,24453.357
31,1026.9854
32,23127.668
33,74309.336
34,2890.6956
35,16671.432
36,15795.194
37,1277.4379
38,513.4021
39,24017.332
40,69297.68
41,15730.67
42,40253.145
43,4873.6387
44,54758.05
45,1291.157
46,26412.844
47,8702.369
48,8552.503
49,10997.449
50,10188.088
51,4269.021
52,6892.736
53,222077.1
54,18412.14
55,48863.168
56,4124.331
57,3916.9731
58,62160.543
59,22762.1
60,26427.582
61,32627.035
62,35423.695
63,25707.533
64,22798.512
65,2336.8
66,56335.742
67,128091.21
68,5587.0386
69,71606.7
70,23545.633
71,6513.837
72,41321.277
73,22996.535
74,9974.513
75,15671.161
76,17482.309
77,13263.601
78,23878.309
79,10531.614
80,4270.459
81,9009.088
82,14343.819
83,2079.165
84,64719.863
85,17154.504
86,1592.7555
87,8767.093
88,10270.793
89,16152.327
90,17030.889
91,204400.1
92,44677.375
93,26850.686
94,64473.01
95,46712.17
96,72449.55
97,19081.215
98,6245.381
99,5638.482
100,13015.416
101,56531.86
102,41872.656
103,25399.926
104,31969.81
105,4451.518
106,13925.658
107,84172.49
108,28894.977
109,3303.3875
110,26056.535
111,59252.22
112,13506.787
113,4458.9043
114,33337.52
115,24071.105
116,37880.07
117,7808.5625
118,931.98126
119,11164.664
120,38201.03
121,308.0666
122,13051.303
123,140861.34
124,11083.489
125,12816.23
126,18944.15
127,31315.79
128,11873.74
129,3405.592
130,8671.465
131,32765.953
132,23542.062
133,13293.805
134,7927.4463
135,50256.973
136,29275.354
137,46454.32
138,4801.2095
139,13953.831
140,2848.1562
141,4358.795
142,21114.18
143,138218.52
144,22799.795
145,155822.47
146,27879.412
147,23746.43
148,6129.714
149,2910.0366
150,36880.62
151,6867.8506
152,7836.99
153,2629.359
154,5099.433
155,9076.465
156,1820.2805
157,72308.59
158,1152.8192
159,2758.404
160,6345.042
161,140952.58
162,14490.035
163,1524.4143
164,12240.617
165,6676.797
166,128785.97
167,9940.058
168,55604.47
169,59142.695
170,17533.338
171,44059.895
172,26490.266
173,9332.844
174,9319.626
175,1110.1685
176,31565.475
177,50914.47
178,820.23065
179,24027.344
180,168029.6
181,1450.6216
182,159243.81
183,2426.6885
184,24805.055
185,12163.831
186,7820.272
187,15962.08
188,7543.64
189,30993.385
190,32065.63
191,32815.395
192,155001.22
193,53242.465
194,6888.9565
195,15080.26
196,29637.86
197,22057.418
198,9070.182
199,27821.613
200,10960.914
201,67844.58
